832
YNL308C| -0.27 -0.27
YNL313C| -1 0.97
YNL327W| -1.53 1.1
YNR025C| -1.13 -1.74
YNR043W| 1.2 -0.23
YNR046W| -0.24 -0.24
YNR054C| 0 -1.2
YNR075W| -1.1 0.04
YOL021C| -1.23 -1.23
YOL080C| -1.39 1.28
YOR116C| -1.63 0.23
YOR146W| -0.04 0.87
YOR206W| -0.35 -0.35
YOR233W| -0.13 1.14
YOR335C| 0.71 -0.17
YOR341W| 0.83 1.17
YOR355W| 1.05 1.15
YOR361C| 0.98 -1.24
YPL012W| -1.46 1.15
YPL019C| 0.89 1.09
YPL030W| 1.12 -0.38
YPL032C| 0.57 -0.81
YPL093W| 1.25 -1.55
YPL183C| -0.73 -0.73
YPL211W| 0.98 -1.65
YPL226W| 1.07 -1.06
YPR009W| 0.97 0.6
YPR034W| 1.03 -0.03
YPR110C| -0.24 -0.29
YPR136C| 0.84 1.31
YPR143W| -1.17 -0.45
YPR145W| 1.22 -1.6
YHR007C| 0.19 -1.35
YAL023C| 0.03 0.77
YAL036C| 0.9 1.22
YAR073W| 0.77 0.94
YBL076C| 0.87 0.98
YBL087C| -1.71 -1.25
YBR048W| -0.86 -0.86
YBR092C| 1.09 -1.02
YBR121C| -0.02 -0.02
YBR143C| -0.02 0.1
YBR156C| 0.24 0.12
YBR249C| -1.69 0.89
YCL053C| -1.63 1.06
YDL014W| 1.18 -1.68
YDL060w| 0 0.89
YDL082w| 0.21 1.02
YDL145C| -1.49 -1.51
YDL208W| 0.69 0.36
YDR023W| 1.14 0.35
YDR037W| 0.86 -1.5
YDR060w| 0.88 0.08
YDR062W| 0.19 0.19
YDR064W| 0.83 0.3
YDR321W| 0.12 -1.36
YDR365C| 0.83 -1.31
YDR399W| 0.82 0.23
YDR447C| 0.69 -1.38
YDR449C| -1.77 -1.26
YDR450W| -1.09 -1.88
YDR471W| 0.4 0.79
YEL026w| -0.15 -1.57
YEL054c| -1.9 0.3
YER056c| 0.21 -1.33
YER060w| -1.73 -0.13
YER129w| -1.32 -0.07
YFL045C| 0.67 -1.77
YGL008C| 0.85 0.53
YGL029W| 0.18 0.18
YGL078C| 0.62 -0.05
YGL092W| -1.36 1.42
YGL103W| 0.85 -1.17
YGL225W| 0.04 0.72
YGR034W| 0.02 0.7
YGR060W| 0.84 0.84
YGR061C| 0.82 0.69
YGR214W| 0.7 0.27
YHL033C| 0.76 -1
YHR019C| -1.68 -0.09
YHR049W| 0.47 0.26
YHR089C| 0.8 0.8
YHR128W| 1 1
YHR203C| -1.78 0.98
YHR216W| 0.11 0.88
YIL052C| 0.85 0.85
YIL069C| 0.38 0.67
YIL133C| 0.86 0.18
YJL111W| 1.06 -1.59
YJL138C| 0.37 -0.06
YJL177W| -1.26 0.82
YJL183W| 0.76 0.3
YJR071W| 0.29 0.81
YJR105W| -1.6 0.24
YJR123W| -1.84 -1.2
YKL009W| 0.66 0.66
YKL057C| -1.35 0.65
YKL081W| 0.79 -1.61
YKL156W| 0.81 -1.17
YKR013W| 0.61 0.45
YKR025W| -0.03 1.16
YKR094C| -1.32 0.86
YLL004w| 0.41 -1.57
YLL044W| 0.37 0.82
YLR009W| 0.11 0
YLR048w| 0.4 0.72
YLR056w| -1.74 -1.74
YLR061W| 0.8 0.8
YLR083c| -1.63 0.57
YLR129w| 0.23 0.23
YLR134w| -0.12 -0.12
YLR175W| 0.08 0.08
YLR179C| -1.66 0.18
YLR185W| 0.72 -1.18
YLR186W| 0.96 1.11
YLR212C| 0.59 -1.24
YLR339C| 0.98 -1.1
YLR384C| -1.79 0.77
YLR413W| 1.05 -1.65
YLR432W| 0.93 0.24
YLR448W| 0.08 0.17
YML059C| 1.15 0.73
YMR199W| 0.97 -2.08
